receipt_id,order_id,customer_id,customer_name,customer_email,order_date,total_order_amount,product_id,product_name,product_category,item_quantity,item_price,item_total
1,1,1,Customer 1,customer1@example.com,2026-03-01 00:00:00,795,6253,Product 6253,Books,7,68.08,476.56
2,1,1,Customer 1,customer1@example.com,2026-03-01 00:00:00,795,4685,Product 4685,Home Goods,4,27.61,110.44
3,1,1,Customer 1,customer1@example.com,2026-03-01 00:00:00,795,1732,Product 1732,Books,2,96.61,193.22
4,2,1,Customer 1,customer1@example.com,2026-03-01 00:08:44,876,9236,Product 9236,Home Goods,9,36.48,328.32
5,2,1,Customer 1,customer1@example.com,2026-03-01 00:08:44,876,6165,Product 6165,Electronics,10,46.88,468.8
6,2,1,Customer 1,customer1@example.com,2026-03-01 00:08:44,876,4853,Product 4853,Home Goods,10,83.71,837.0999999999999
7,3,1,Customer 1,customer1@example.com,2026-03-01 00:17:28,184,9914,Product 9914,Home Goods,6,57.74,346.44
8,3,1,Customer 1,customer1@example.com,2026-03-01 00:17:28,184,9144,Product 9144,Electronics,1,21.98,21.98
9,4,1,Customer 1,customer1@example.com,2026-03-01 00:26:13,57,2882,Product 2882,Home Goods,7,10.5,73.5
10,4,1,Customer 1,customer1@example.com,2026-03-01 00:26:13,57,1469,Product 1469,Home Goods,9,51.87,466.83
11,5,1,Customer 1,customer1@example.com,2026-03-01 00:34:57,555,9231,Product 9231,Electronics,6,100.13,600.78
12,6,1,Customer 1,customer1@example.com,2026-03-01 00:43:42,887,1036,Product 1036,Books,10,52.72,527.2
13,6,1,Customer 1,customer1@example.com,2026-03-01 00:43:42,887,1795,Product 1795,Books,6,95.22,571.3199999999999
14,7,1,Customer 1,customer1@example.com,2026-03-01 00:52:26,394,935,Product 935,Home Goods,4,76.81,307.24
15,7,1,Customer 1,customer1@example.com,2026-03-01 00:52:26,394,5987,Product 5987,Home Goods,8,57.3,458.4
16,8,1,Customer 1,customer1@example.com,2026-03-01 01:01:11,825,4834,Product 4834,Books,4,2.5,10.0
